date,description,amount,account_number,account_description,account_category
2024-03-06 23:48:57.578120,,-19246.49,2290,Regulering af nedskrivning på tilgodehavender fra salg og tjenesteydelser,Administrationsomkostninger
2024-03-06 23:48:57.578120, betaling {} - langfristede tilgodehavender hos tilknyttede virksomheder - ref. 16135,-13144.17,5870,Langfristede tilgodehavender hos tilknyttede virksomheder,Langfristede tilgodehavender hos tilknyttede virksomheder
2024-03-06 23:48:57.578120," {} grunde og bygninger, årets af- og nedskrivninger - ref. 84788",-2849.56,5390,"Grunde og bygninger, årets af- og nedskrivninger",Grunde og bygninger
2024-03-06 23:48:57.578120, andre hensatte forpligtelser {} - ref. 54362,-41292.94,7050,Andre hensatte forpligtelser,Andre hensatte forpligtelser
2024-03-07 23:48:57.578120, betaling {} - varme - ref. 55237,-25935.88,2080,Varme,Lokaleomkostninger
2024-03-07 23:48:57.578120, {} udskudte skatteaktiver - ref. 80574,-26089.93,6020,Udskudte skatteaktiver,Andre (langfristede) tilgodehavender
2024-03-07 23:48:57.578120,,-42399.96,6970,Foreslået udbytte indregnet under egenkapitalen,Foreslået udbytte indregnet under egenkapitalen
2024-03-08 23:48:57.578120, {} fri bil - ref. 93444,-15706.1,2640,Fri bil,Administrationsomkostninger
2024-03-08 23:48:57.578120,,-29953.82,1850,Annoncering og reklame,Salgsomkostninger
2024-03-08 23:48:57.578120,,-16807.34,5050,"Goodwill, årets af- og nedskrivninger",Goodwill
2024-03-09 23:48:57.578120,,-49352.1,6490,Likvide beholdninger,Likvide beholdninger
2024-03-09 23:48:57.578120,,-22016.07,9999,PASSIVER I ALT,Periodeafgrænsningsposter
2024-03-09 23:48:57.578120, overkurs ved emission {} - ref. 17559,-19553.1,6540,Overkurs ved emission,Overkurs ved emission
2024-03-10 23:48:57.578120,,-16499.01,2200,Andre lokaleomkostninger,Lokaleomkostninger
2024-03-11 23:48:57.578120,,-39737.78,6260,Kortfristede tilgodehavender hos tilknyttede virksomheder,Kortfristede tilgodehavender hos tilknyttede virksomheder
2024-03-12 23:48:57.578120,,-25220.37,2070,Vand,Lokaleomkostninger
2024-03-12 23:48:57.578120,,-1708.82,5771,Materielle anlægsaktiver,Finansielt leasede aktiver
2024-03-12 23:48:57.578120," finansielt leasede aktiver, tilbageførte af- og nedskrivninger {} - ref. 14153",-12765.94,5760,"Finansielt leasede aktiver, tilbageførte af- og nedskrivninger",Finansielt leasede aktiver
2024-03-12 23:48:57.578120," {} husleje, ekskl. el, vand og varme - ref. 21136",-36820.53,2030,"Husleje, ekskl. el, vand og varme",Lokaleomkostninger
2024-03-13 23:48:57.578120, betaling {} - forudbetalinger for varer - ref. 15795,-17545.39,6180,Forudbetalinger for varer,Forudbetalinger for varer
2024-03-13 23:48:57.578120,,-3522.72,3810,Andre skatter,Andre skatter
2024-03-14 23:48:57.578120, overførsel fra {} - ref. 16227,-25691.79,1830,Fragtomkostninger,Salgsomkostninger
2024-03-14 23:48:57.578120," finansielt leasede aktiver, øvrige værdireguleringer {} - ref. 42093",-3396.74,5740,"Finansielt leasede aktiver, øvrige værdireguleringer",Finansielt leasede aktiver
2024-03-15 23:48:57.578120," {} grunde og bygninger, tilbageførte af- og nedskrivninger - ref. 29912",-24360.34,5400,"Grunde og bygninger, tilbageførte af- og nedskrivninger",Grunde og bygninger
2024-03-15 23:48:57.578120, af- og nedskrivninger af erhvervede immaterielle anlægsaktiver {} - ref. 27758,-20165.79,3000,Af- og nedskrivninger af erhvervede immaterielle anlægsaktiver,Af- og nedskrivninger af materielle og immaterielle anlægsaktiver
